race,date,city_wapo,state,body_camera,AGENCYNAME,POL_BWC,PERS_TRN_ACAD,PERS_TRN_FIELD,POL_COMP_EXTINV,POL_INV_INJRY,POL_INV_DTH,POL_INV_DCHG_GUN,PERS_CULTURE,PERS_CONFLICT,PERS_TOTAL,PERS_WHITE,FRAC_WHITE,PERS_BLACK,FRAC_BLACK,PERS_HISP,FRAC_HISP,PERS_AMIND,FRAC_AMIND,PERS_ASIAN,FRAC_ASIAN,PERS_HAWPI,FRAC_HAWPI,PERS_MULTI,FRAC_MULTI,PERS_UNK,FRAC_UNK
W,2015-03-18,Glendale,AZ,0,GLENDALE POLICE DEPARTMENT,1,880,560,1,0,0,0,0,0,415,308,0.7421686746987952,18,0.043373493975903614,59,0.14216867469879518,1,0.0024096385542168677,13,0.03132530120481928,0,0.0,0,0.0,16,0.03855421686746988
W,2015-03-18,Tallahassee,FL,0,TALLAHASSEE POLICE DEPARTMENT,1,770,560,0,0,0,0,0,0,371,286,0.77088948787062,61,0.16442048517520216,17,0.04582210242587601,1,0.0026954177897574125,4,0.01078167115902965,0,0.0,2,0.005390835579514825,0,0.0
W,2015-03-18,Bakersfield,CA,0,BAKERSFIELD POLICE DEPARTMENT,0,954,720,0,0,1,1,0,0,406,279,0.687192118226601,16,0.03940886699507389,99,0.2438423645320197,0,0.0,2,0.0049261083743842365,8,0.019704433497536946,2,0.0049261083743842365,0,0.0
W,2015-03-19,Lawrence County,AL,1,NORTH COURTLAND POLICE DEPARTMENT,1,480,40,0,1,1,1,0,0,3,1,0.3333333333333333,2,0.6666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
B,2015-03-19,Cleveland,OH,0,CLEVELAND POLICE DEPARTMENT,1,1000,960,1,0,1,0,1,1,1475,972,0.6589830508474577,344,0.23322033898305083,139,0.09423728813559322,0,0.0,0,0.0,0,0.0,0,0.0,20,0.013559322033898305
W,2015-03-19,Middleton,ID,1,CANYON COUNTY SHERIFF'S OFFICE,1,260,500,0,0,1,0,0,1,71,66,0.9295774647887324,1,0.014084507042253521,3,0.04225352112676056,0,0.0,1,0.014084507042253521,0,0.0,0,0.0,0,0.0
B,2015-03-19,Jacksonville,FL,0,JACKSONVILLE SHERIFF'S OFFICE,0,790,560,0,1,1,0,0,0,1577,1182,0.7495244134432467,268,0.1699429296131896,82,0.05199746353836398,7,0.004438807863031071,35,0.02219403931515536,2,0.0012682308180088776,1,0.0006341154090044388,0,0.0
W,2015-03-19,Sumas,WA,0,LYNDEN POLICE DEPARTMENT,0,720,480,0,1,1,1,0,1,15,15,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
W,2015-03-19,Bakersfield,CA,0,BAKERSFIELD POLICE DEPARTMENT,0,954,720,0,0,1,1,0,0,406,279,0.687192118226601,16,0.03940886699507389,99,0.2438423645320197,0,0.0,2,0.0049261083743842365,8,0.019704433497536946,2,0.0049261083743842365,0,0.0
B,2015-03-20,New Orleans,LA,0,JEFFERSON PARISH SHERIFF'S OFFICE,0,790,480,0,0,0,0,0,0,768,573,0.74609375,154,0.20052083333333334,23,0.029947916666666668,0,0.0,7,0.009114583333333334,2,0.0026041666666666665,8,0.010416666666666666,1,0.0013020833333333333
W,2015-03-20,Coal County,OK,0,OKLAHOMA HIGHWAY PATROL,1,1221,600,0,0,0,0,0,0,799,670,0.8385481852315394,31,0.03879849812265332,1,0.0012515644555694619,93,0.11639549436795996,4,0.0050062578222778474,0,0.0,0,0.0,0,0.0
N,2015-03-20,Red Valley,AZ,0,NAVAJO COUNTY SHERIFF'S OFFICE,1,585,480,0,0,0,0,1,1,55,51,0.9272727272727272,0,0.0,0,0.0,3,0.05454545454545454,0,0.0,0,0.0,1,0.01818181818181818,0,0.0
W,2015-03-21,Cottonwood,AZ,0,YAVAPAI COUNTY SHERIFF'S OFFICE,1,800,700,0,0,0,0,0,0,135,117,0.8666666666666667,0,0.0,16,0.11851851851851852,0,0.0,2,0.014814814814814815,0,0.0,0,0.0,0,0.0
W,2015-03-21,Clarendon,NY,0,ALBION VILLAGE POLICE DEPARTMENT,1,740,664,0,0,0,0,0,0,13,13,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
W,2015-03-21,Harmony,IN,0,CLAY CITY POLICE DEPARTMENT,1,600,50,0,1,1,1,1,1,2,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
W,2015-03-21,Columbus,OH,0,COLUMBUS POLICE DEPARTMENT,1,1120,600,0,1,1,1,0,1,1802,1566,0.8690344062153164,187,0.10377358490566038,19,0.010543840177580466,3,0.001664816870144284,20,0.011098779134295227,7,0.00388457269700333,0,0.0,0,0.0
W,2015-03-22,Vallejo,CA,0,VALLEJO POLICE DEPARTMENT,1,1064,800,0,1,1,1,1,1,104,76,0.7307692307692307,7,0.0673076923076923,11,0.10576923076923077,0,0.0,10,0.09615384615384616,0,0.0,0,0.0,0,0.0
W,2015-03-22,Portland,OR,0,PORTLAND POLICE BUREAU,0,1334,920,0,0,1,0,0,0,881,742,0.8422247446083996,34,0.03859250851305335,34,0.03859250851305335,2,0.0022701475595913734,54,0.06129398410896708,1,0.0011350737797956867,14,0.015891032917139614,0,0.0
