,AGENCYNAME,CITY,STATE,COUNTY,FIPS,ORI9,POPSERVED,AGENCYTYPE,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,Poverty,Unemployment,gun_homicide_rate_smoothed,lat,lng,PERS_TOTAL,OPER_DIS,PERS_WHITE,FRAC_WHITE,PERS_BLACK,FRAC_BLACK,PERS_HISP,POL_CULTAW,FRAC_HISP,CP_MISSION,CP_PLAN,POL_MENTILL,PERS_CULTURE,PERS_CONFLICT
0,DAVIS POLICE DEPARTMENT,DAVIS,CA,YOLO,6113,CA0570100,68111,1,CA,Yolo,207320.0,100937.0,106383.0,31.1,48.3,2.3,0.5,13.5,0.5,54989.0,19.9,9.0,4.2,38.732968,-121.8072828,60,37568,49,0.8166666666666667,1,0.016666666666666666,4,1,0.06666666666666667,1,2,1,2,2
3,BARABOO POLICE DEPARTMENT,BARABOO,WI,SAUK,55111,WI0570200,12173,1,WI,Sauk,62992.0,31578.0,31414.0,4.7,91.8,0.5,1.2,0.7,0.0,51055.0,12.3,5.5,1.1,43.4066375,-89.9253233,29,10000,28,0.9655172413793104,0,0.0,0,1,0.0,1,1,1,2,2
4,OREGON POLICE DEPARTMENT,OREGON,WI,DANE,55025,WI0137400,3334,1,WI,Dane,510198.0,252850.0,257348.0,6.2,80.8,5.0,0.2,5.4,0.0,62865.0,12.9,4.9,1.1,43.2505472,-89.5015088,18,5000,18,1.0,0,0.0,0,1,0.0,1,1,1,2,2
5,LOGAN CITY POLICE DEPARTMENT,LOGAN,UT,CACHE,49005,UT0030100,50676,1,UT,Cache,117449.0,58573.0,58876.0,10.3,84.1,0.7,0.5,2.2,0.3,50497.0,15.6,5.5,1.8,41.8353064,-112.00592959999999,59,22379,57,0.9661016949152542,0,0.0,1,1,0.01694915254237288,1,2,1,2,2
6,RIALTO POLICE DEPARTMENT,RIALTO,CA,SAN BERNARDINO,6071,CA0360900,103314,1,CA,San Bernardino,2094769.0,1042053.0,1052716.0,51.1,31.2,8.1,0.4,6.5,0.3,53433.0,19.5,12.6,3.9,34.1083449,-117.2897652,105,83888,55,0.5238095238095238,11,0.10476190476190476,36,2,0.34285714285714286,1,1,1,1,1
7,BROOMFIELD POLICE DEPARTMENT,BROOMFIELD,CO,BROOMFIELD,8014,CO0640100,66529,1,CO,Broomfield,60699.0,30075.0,30624.0,11.9,78.2,0.9,0.2,5.9,0.0,81898.0,6.5,5.5,1.7,39.9205411,-105.0866504,156,32000,135,0.8653846153846154,3,0.019230769230769232,15,1,0.09615384615384616,1,2,1,2,2
8,GREENCASTLE POLICE DEPARTMENT,GREENCASTLE,IN,PUTNAM,18133,IN0670100,10508,1,IN,Putnam,37650.0,19967.0,17683.0,1.8,91.9,4.0,0.2,0.9,0.0,51355.0,10.2,7.3,1.3,39.690996999999996,-86.8220341,16,3000,16,1.0,0,0.0,0,1,0.0,1,1,1,2,2
10,LEAVENWORTH POLICE DEPARTMENT,LEAVENWORTH,KS,LEAVENWORTH,20103,KS0520100,36154,1,KS,Leavenworth,78227.0,41806.0,36421.0,6.6,79.3,8.3,0.6,1.6,0.1,63726.0,11.4,5.9,4.2,39.3111112,-94.9224637,62,22597,54,0.8709677419354839,4,0.06451612903225806,4,1,0.06451612903225806,1,1,1,2,2
11,KENTON COUNTY POLICE DEPARTMENT,INDEPENDENCE,KY,KENTON,21117,KY0590500,37955,1,KY,Kenton,163007.0,80417.0,82590.0,2.9,89.2,4.5,0.2,1.2,0.0,54296.0,14.6,7.7,6.0,38.9863872,-84.56414699999998,35,29010,33,0.9428571428571428,0,0.0,1,1,0.02857142857142857,1,1,1,2,2
12,WILLIAMSBURG POLICE DEPARTMENT,WILLIAMSBURG,KY,WHITLEY,21235,KY1180200,5313,1,KY,Whitley,35794.0,17493.0,18301.0,1.0,96.1,0.9,0.2,0.4,0.0,31014.0,26.0,10.2,3.8,36.726335,-84.1857115,14,8500,14,1.0,0,0.0,0,1,0.0,1,1,1,1,1
13,JACKSON PARISH SHERIFFS OFFICE,JONESBORO,LA,JACKSON,22049,LA0250000,15808,2,LA,Jackson,16109.0,8288.0,7821.0,1.5,66.5,30.2,0.2,0.2,0.0,38029.0,26.5,6.9,6.7,30.837403600000002,-91.2176087,58,10602,55,0.9482758620689655,3,0.05172413793103448,0,2,0.0,1,1,2,2,2
15,ST JOHN THE BAPTIST PARISH SHERIFF'S OFFICE,LA PLACE,LA,ST. JOHN THE BAPTIST PARISH,22095,LA0480000,43631,2,LA,St. John the Baptist,44161.0,21467.0,22694.0,5.3,38.0,54.2,0.1,0.5,0.3,50921.0,18.2,9.2,8.6,30.111833100000002,-90.4879916,238,53020,120,0.5042016806722689,115,0.4831932773109244,2,1,0.008403361344537815,1,2,1,2,2
16,GREENE COUNTY SHERIFF'S OFFICE,SPRINGFIELD,MO,GREENE,29077,MO0390000,288690,2,MO,Greene,283206.0,137929.0,145277.0,3.3,88.7,3.1,0.4,1.8,0.1,41227.0,19.0,6.8,3.0,37.3311215,-93.5003454,165,35000,159,0.9636363636363636,2,0.012121212121212121,2,1,0.012121212121212121,2,2,1,2,2
17,HINDS COUNTY SHERIFF'S DEPARTMENT,JACKSON,MS,HINDS,28049,MS0250000,241229,2,MS,Hinds,245874.0,115233.0,130641.0,1.6,26.6,70.1,0.1,0.8,0.0,37324.0,25.9,10.3,12.8,32.2648353,-90.3748354,99,1207,31,0.31313131313131315,68,0.6868686868686869,0,1,0.0,1,1,1,2,2
18,HARRINGTON PARK POLICE,HARRINGTON PARK,NJ,BERGER,34003,NJ0022400,4806,1,NJ,Bergen,926330.0,448049.0,478281.0,17.9,59.4,5.3,0.1,15.5,0.0,85806.0,7.4,6.5,3.0,40.926276200000004,-74.07701,11,5000,11,1.0,0,0.0,0,1,0.0,1,1,1,1,1
19,HAWORTH POLICE,HAWORTH,NJ,BERGEN,34003,NJ0022600,3464,1,NJ,Bergen,926330.0,448049.0,478281.0,17.9,59.4,5.3,0.1,15.5,0.0,85806.0,7.4,6.5,3.0,40.926276200000004,-74.07701,11,1000,11,1.0,0,0.0,0,1,0.0,-8,1,1,2,2
20,WEST WINDSOR TOWNSHIP POLICE,PRINCETON JUNCTION,NJ,MERCER,34021,NJ0111300,28207,1,NJ,Mercer,370212.0,181158.0,189054.0,16.2,52.3,19.6,0.1,10.1,0.0,72804.0,11.5,9.4,1.6,40.3028533,-74.7337069,47,14236,44,0.9361702127659575,1,0.02127659574468085,1,1,0.02127659574468085,1,1,1,1,1
21,PURCELL POLICE DEPARTMENT,PURCELL,OK,MCCLAIN,40087,OK0440200,6442,1,OK,McClain,36512.0,18217.0,18295.0,7.5,79.9,0.9,5.1,0.6,0.4,56088.0,10.9,3.9,2.6,35.0282316,-97.48141629999999,20,5477,20,1.0,0,0.0,0,1,0.0,1,1,1,2,2
22,WOODFIN POLICE DEPARTMENT,WOODFIN,NC,BUNCOMBE CO,37021,NC0110600,6383,1,NC,Buncombe,247336.0,118950.0,128386.0,6.4,83.8,6.2,0.4,1.1,0.0,45167.0,15.9,7.0,2.8,35.59313770000001,-82.4752757,16,5000,13,0.8125,1,0.0625,0,2,0.0,1,2,2,2,2
25,GRAND ISLE POLICE DEPARTMENT,GRAND ISLE,LA,JEFFERSON,22051,LA0260500,1416,1,LA,Jefferson,435092.0,211216.0,223876.0,13.6,54.4,25.9,0.4,4.1,0.0,47947.0,16.8,6.7,14.8,29.96603709999999,-90.1531298,46,1500,46,1.0,0,0.0,0,2,0.0,-8,2,2,1,1
27,BERKELEY COUNTY SHERIFF'S OFFICE,MONCKS CORNER,SC,BERKELEY,45015,SC0080000,210898,2,SC,Berkeley,193613.0,96518.0,97095.0,6.1,64.0,24.3,0.5,2.4,0.1,52506.0,13.9,9.9,7.6,33.1260618,-80.0087746,153,20329,126,0.8235294117647058,26,0.16993464052287582,1,1,0.006535947712418301,1,2,1,2,2
28,PINE BLUFF POLICE DEPARTMENT,PINE BLUFF,AR,JEFFERSON,5069,AR0350100,43841,1,AR,Jefferson,73548.0,36165.0,37383.0,1.9,40.5,55.5,0.1,0.8,0.1,36747.0,25.5,11.2,11.6,34.3806516,-92.1640352,131,47431,49,0.37404580152671757,78,0.5954198473282443,0,1,0.0,1,1,1,2,2
30,CHARLOTTE COUNTY SHERIFF'S OFFICE,CHARLOTTE COURT HOUSE,VA, ,51037,VA0200000,12129,2,VA,Charlotte,12313.0,6129.0,6184.0,0.7,66.8,31.2,0.1,0.1,0.0,35079.0,21.3,4.9,3.5,37.0467412,-78.61149990000001,19,6000,18,0.9473684210526315,1,0.05263157894736842,0,1,0.0,1,1,1,2,2
33,KOKOMO POLICE DEPARTMENT,KOKOMO,IN,HOWARD,18067,IN0340100,51572,1,IN,Howard,82765.0,39916.0,42849.0,3.0,86.2,6.9,0.2,1.2,0.0,44226.0,17.8,9.2,2.1,39.9161499,-87.37557029999998,95,32310,87,0.9157894736842105,3,0.031578947368421054,1,1,0.010526315789473684,1,1,1,1,2
37,MOUNT MORRIS  POLICE DEPARTMENT,MOUNT MORRIS,NY,LIVINGSTON,36051,NY0252600,2868,1,NY,Livingston,64801.0,32469.0,32332.0,3.3,91.2,2.2,0.1,1.3,0.0,51734.0,14.8,5.4,2.5,42.1424234,-73.77791619999998,15,8300,14,0.9333333333333333,0,0.0,1,1,0.06666666666666667,1,1,1,-9,-9
40,JERSEY CITY POLICE DEPARTMENT,JERSEY CITY,NJ,HUDSON,34017,NJ0090600,264152,1,NJ,Hudson,662619.0,329204.0,333415.0,42.8,29.4,11.1,0.1,14.5,0.0,59741.0,17.5,9.3,3.2,40.7453199,-74.05351259999998,854,220856,340,0.3981264637002342,95,0.11124121779859485,268,1,0.31381733021077285,1,1,1,2,2
41,TULSA POLICE DEPARTMENT,TULSA,OK, ,40143,OK0720500,396790,1,OK,Tulsa,623335.0,303789.0,319546.0,11.7,64.0,9.9,4.4,2.6,0.1,49759.0,15.7,6.5,6.6,36.1539816,-95.992775,728,293806,552,0.7582417582417582,64,0.08791208791208792,23,1,0.03159340659340659,1,1,1,1,1
42,PITTSBURGH CITY POLICE DEPARTMENT,PITTSBURGH,PA,ALLEGHENY,42003,PAPPD0000,303625,1,PA,Allegheny,1231145.0,592511.0,638634.0,1.8,79.6,12.9,0.1,3.3,0.0,53040.0,13.0,7.1,4.7,40.4450813,-80.0087746,892,236884,760,0.852017937219731,115,0.1289237668161435,10,1,0.011210762331838564,1,1,1,1,1
43,PHILADELPHIA CITY POLICE DEPARTMENT,PHILADELPHIA,PA,PHILA,42063,PAPEP0000,1567872,1,PA,Indiana,87895.0,44252.0,43643.0,1.3,93.9,2.3,0.2,1.1,0.0,45195.0,17.3,7.8,2.1,40.621455100000006,-79.15253489999998,6031,1500000,3450,0.5720444370751119,1961,0.32515337423312884,505,2,0.08373404078925552,1,2,1,2,2
44,OPEILKA POLICE DEPARTMENT,OPELIKA,AL,LEE,1081,AL0430200,29869,1,AL,Lee,150982.0,74277.0,76705.0,3.7,68.2,23.0,0.1,3.3,0.0,44570.0,23.8,7.3,9.7,32.5888702,-85.39627689999998,82,81783,65,0.7926829268292683,14,0.17073170731707318,3,2,0.036585365853658534,-8,2,2,2,2
49,RICHLAND COUNTY SHERIFF'S OFFICE,COLUMBIA,SC,RICHLAND,45079,SC0400000,409549,2,SC,Richland,397899.0,193206.0,204693.0,5.0,44.3,45.5,0.1,2.7,0.1,49131.0,17.1,9.4,6.4,34.0412165,-80.9428911,528,172797,347,0.6571969696969697,157,0.29734848484848486,21,2,0.03977272727272727,1,1,2,1,1
55,ESCONDIDO POLICE DEPARTMENT,ESCONDIDO,CA,SAN DIEGO,6073,CA0370600,151613,1,CA,San Diego,3223096.0,1618945.0,1604151.0,32.9,47.0,4.7,0.4,11.2,0.4,64309.0,14.5,8.7,1.7,32.715738,-117.1610838,156,52582,0,0.0,0,0.0,0,1,0.0,1,1,1,1,1
57,WALTON COUNTY SHERIFF'S OFFICE,DEFUNIAK SPRINGS,FL,WALTON,12131,FL0660000,65889,2,FL,Walton,59487.0,30176.0,29311.0,5.9,84.3,5.1,0.9,1.2,0.2,44966.0,17.1,7.9,3.1,30.56401989999999,-86.17517590000001,117,126000,104,0.8888888888888888,8,0.06837606837606838,5,2,0.042735042735042736,1,2,1,2,2
58,COLUMBUS POLICE DEPARTMENT,COLUMBUS,GA,MUSCOGEE,13215,GA1060100,197485,1,GA,Muscogee,200285.0,98321.0,101964.0,7.3,42.4,44.2,0.3,2.3,0.2,42306.0,20.5,11.0,9.0,32.479413300000004,-84.8984775,407,165000,289,0.7100737100737101,102,0.25061425061425063,9,2,0.022113022113022112,2,2,1,2,2
60,HONOLULU POLICE DEPARTMENT,HONOLULU,HI, ,15003,HI0020000,992605,1,HI,Honolulu,984178.0,498129.0,486049.0,9.2,19.5,2.5,0.1,41.6,8.6,74460.0,9.7,5.6,0.5,21.3069444,-157.8583333,1961,606081,235,0.1198368179500255,26,0.013258541560428353,23,1,0.011728709841917389,1,1,1,2,2
62,GRETNA POLICE DEPARTMENT,GRETNA,LA,JEFFERSON,22051,LA0260100,17897,1,LA,Jefferson,435092.0,211216.0,223876.0,13.6,54.4,25.9,0.4,4.1,0.0,47947.0,16.8,6.7,14.8,29.96603709999999,-90.1531298,295,35564,244,0.8271186440677966,42,0.1423728813559322,5,1,0.01694915254237288,1,1,2,2,2
66,SANDWICH POLICE DEPARTMENT,SANDWICH,MA, ,25001,MA0011200,20391,1,MA,Barnstable,214766.0,102244.0,112522.0,2.6,91.1,2.5,0.4,1.4,0.0,63251.0,8.7,7.0,1.0,41.7003208,-70.3002024,35,16744,35,1.0,0,0.0,0,2,0.0,1,2,1,2,2
74,KANSAS CITY POLICE DEPARTMENT,KANSAS CITY,MO,JACKSON,29095,MOKPD0000,311095,1,MO,Jackson,680905.0,329297.0,351608.0,8.7,62.8,23.5,0.4,1.7,0.2,46869.0,17.9,7.6,8.3,37.3822732,-89.6662063,1335,290500,1023,0.7662921348314606,156,0.11685393258426967,64,1,0.04794007490636704,2,1,1,2,2
77,ANADARKO POLICE DEPARTMENT,ANADARKO,OK,CADDO,40015,OK0080100,6761,1,OK,Caddo,29495.0,15339.0,14156.0,11.2,58.2,2.7,21.8,0.3,0.0,40674.0,21.2,9.5,4.2,34.1267595,-96.2633229,17,46203,14,0.8235294117647058,1,0.058823529411764705,1,2,0.058823529411764705,-8,-9,1,2,2
80,DALLAS COUNTY SHERIFF'S OFFICE,DALLAS,TX,DALLAS,48113,TX0570000,2574984,2,TX,Dallas,2485003.0,1225722.0,1259281.0,39.0,31.5,21.8,0.2,5.6,0.0,50270.0,19.3,7.6,3.9,32.7766642,-96.7969879,2234,137942,439,0.19650850492390332,1367,0.6119068934646374,333,1,0.14905998209489704,1,2,1,2,2
96,HOPKINTON POLICE,HOPKINTON,RI,WASHINGTON,44009,RI0050600,8116,1,RI,Washington,126405.0,61286.0,65119.0,2.8,91.6,1.5,0.8,1.8,0.0,72807.0,9.9,6.4,0.9,41.45681130000001,-71.66733520000001,15,8152,15,1.0,0,0.0,0,1,0.0,2,2,1,1,1
98,MARION POLICE DEPARTMENT,MARION,IL,WILLIAMSON,17199,IL1000400,17824,1,IL,Williamson,67121.0,33323.0,33798.0,2.3,90.7,4.1,0.2,0.9,0.0,44453.0,15.0,7.0,1.8,38.9856018,-89.7639829,34,29000,33,0.9705882352941176,0,0.0,1,2,0.029411764705882353,2,2,2,2,1
102,STUTSMAN COUNTY SHERIFF'S OFFICE,JAMESTOWN,ND,STUTSMAN,38093,ND0470000,21128,2,ND,Stutsman,21076.0,10697.0,10379.0,2.0,93.6,0.5,1.5,0.5,0.1,52359.0,10.9,2.5,,46.939184000000004,-98.9909139,11,9000,11,1.0,0,0.0,0,1,0.0,1,2,1,2,2
104,ASHTABULA COUNTY SHERIFF'S OFFICE,JEFFERSON,OH,ASHTABULA,39007,OH0040000,98231,2,OH,Ashtabula,99777.0,50062.0,49715.0,3.8,90.2,3.4,0.1,0.5,0.0,40544.0,20.1,8.9,2.3,41.8650534,-80.7898089,37,14000,36,0.972972972972973,1,0.02702702702702703,0,1,0.0,2,2,1,2,2
106,WELLSVILLE POLICE DEPARTMENT,WELLSVILLE,OH,COLUMBIANA,39029,OH0150800,3374,1,OH,Columbiana,105987.0,53166.0,52821.0,1.4,94.4,2.2,0.1,0.3,0.0,44497.0,15.4,9.0,4.1,40.88839309999999,-80.69396429999998,13,100,9,0.6923076923076923,2,0.15384615384615385,0,1,0.0,1,-9,1,1,-9
114,LONG BEACH TOWNSHIP POLICE,LONG BEACH TOWNSHIP,NJ,OCEAN,34029,NJ0151700,3050,1,NJ,Ocean,583450.0,280258.0,303192.0,8.8,85.1,2.9,0.0,1.9,0.0,61994.0,11.3,8.8,1.5,40.2479729,-74.029843,36,20000,35,0.9722222222222222,0,0.0,1,1,0.027777777777777776,1,2,1,1,1
115,FRANKENMUTH POLICE DEPARTMENT,FRANKENMUTH,MI,"SAGINAW, MICHIGAN",26145,MI7340600,5131,1,MI,Saginaw,196479.0,95216.0,101263.0,8.1,70.0,18.1,0.2,1.2,0.0,43042.0,18.3,11.1,6.2,43.419469899999996,-83.9508068,15,6600,15,1.0,0,0.0,0,2,0.0,1,1,1,1,1
118,SALINE COUNTY SHERIFF'S OFFICE,WILBER,NE, ,31151,NB0760000,14331,2,NE,Saline,14360.0,7438.0,6922.0,22.5,73.1,0.8,0.1,2.7,0.0,51738.0,11.2,3.4,1.0,40.493036700000005,-97.17902600000001,20,18250,19,0.95,0,0.0,0,2,0.0,2,2,2,-9,-9
120,NOBLE POLICE DEPARTMENT,NOBLE,OK, ,40027,OK0140400,6756,1,OK,Cleveland,268614.0,134102.0,134512.0,7.8,73.8,4.5,3.7,4.1,0.1,56452.0,12.7,4.9,5.2,36.310068799999996,-96.4641886,12,3140,9,0.75,0,0.0,0,1,0.0,1,1,1,2,2
122,SCHENECTADY CITY POLICE DEPARTMENT,SCHENECTADY,NY,SCHENECTADY,36093,NY0460100,64913,1,NY,Schenectady,154796.0,75210.0,79586.0,6.4,75.1,9.3,0.2,4.2,0.0,58114.0,12.6,7.4,1.2,42.8142432,-73.93956870000001,142,84000,130,0.9154929577464789,7,0.04929577464788732,5,1,0.035211267605633804,1,1,1,2,2
124,MEMORIAL VILLAGES POLICE DEPARTMENT,HOUSTON,TX,HARRIS,48201,TX1012400,11732,1,TX,Harris,4356362.0,2166727.0,2189635.0,41.6,31.7,18.5,0.2,6.5,0.1,54457.0,18.0,7.5,5.6,29.7751825,-95.3102505,29,66558,22,0.7586206896551724,1,0.034482758620689655,6,1,0.20689655172413793,1,1,1,1,1
125,BERWYN POLICE DEPARTMENT,BERWYN,IL,COOK,17031,IL0160900,55748,1,IL,Cook,5236393.0,2537245.0,2699148.0,24.7,43.1,23.7,0.1,6.7,0.0,55251.0,17.1,10.7,7.5,41.737658700000004,-87.697554,112,38000,83,0.7410714285714286,13,0.11607142857142858,15,2,0.13392857142857142,1,1,1,1,1
131,MOORESVILLE POLICE DEPARTMENT,MOORESVILLE,NC, ,37097,NC0490100,36543,1,NC,Iredell,165066.0,81281.0,83785.0,7.2,76.8,12.1,0.3,2.3,0.0,52306.0,14.0,9.8,4.5,35.8310501,-80.89865019999998,88,36000,75,0.8522727272727273,10,0.11363636363636363,3,1,0.03409090909090909,1,1,1,1,1
132,HUNTINGTON POLICE DEPARTMENT,HUNTINGTON,WV,CABELL,54011,WV0060200,44377,1,WV,Cabell,96824.0,47123.0,49701.0,1.3,90.3,4.7,0.2,1.2,0.0,38344.0,21.7,6.8,3.2,38.43919270000001,-82.25832969999998,111,48000,108,0.972972972972973,3,0.02702702702702703,0,1,0.0,1,2,1,2,2
133,SANTA ROSA COUNTY SHERIFF'S OFFICE,MILTON,FL,SANTA ROSA,12113,FL0570000,170497,2,FL,Santa Rosa,161021.0,82189.0,78832.0,5.0,83.1,5.6,0.5,1.9,0.1,58923.0,12.3,7.9,4.1,30.396032399999996,-86.2288322,185,110043,170,0.918918918918919,3,0.016216216216216217,5,1,0.02702702702702703,1,1,1,2,2
135,LAKELAND POLICE DEPARTMENT,LAKELAND,FL,POLK,12105,FL0531200,106420,1,FL,Polk,626676.0,307017.0,319659.0,19.2,62.5,14.6,0.2,1.6,0.0,43162.0,18.3,10.6,4.0,27.8617347,-81.6911559,236,108837,176,0.7457627118644068,28,0.11864406779661017,26,1,0.11016949152542373,1,2,1,2,2
136,CHATTANOOGA POLICE DEPARTMENT,CHATTANOOGA,TN,HAMILTON,47065,TN0330100,177571,1,TN,Hamilton,348121.0,167812.0,180309.0,4.9,71.6,19.7,0.1,1.9,0.0,48248.0,16.0,8.0,4.1,35.1618966,-85.14793639999998,499,148399,383,0.7675350701402806,97,0.19438877755511022,11,1,0.022044088176352707,1,1,1,1,2
138,BIBB COUNTY SHERIFF'S OFFICE,CENTREVILLE,AL,BIBB,1007,AL0070000,22643,2,AL,Bibb,22604.0,12073.0,10531.0,2.2,74.5,21.4,0.4,0.1,0.0,38678.0,16.8,8.3,11.4,32.956279800000004,-87.14228949999998,11,6000,10,0.9090909090909091,1,0.09090909090909091,0,2,0.0,1,2,2,2,2
140,CHEROKEE COUNTY SHERIFF'S OFFICE,CENTRE,AL,CHEROKEE,1019,AL0130000,25725,2,AL,Cherokee,26008.0,12975.0,13033.0,1.5,91.7,4.8,0.6,0.3,0.0,36296.0,19.2,7.9,5.2,34.7570342,-87.9728143,24,7906,23,0.9583333333333334,1,0.041666666666666664,0,2,0.0,2,2,1,-9,-9
143,FAYETTE POLICE DEPARTMENT,FAYETTE,AL,FAYETTE,1057,AL0320100,4432,1,AL,Fayette,16896.0,8477.0,8419.0,0.7,85.3,12.0,0.0,0.4,0.0,34680.0,18.3,10.0,4.9,33.6845539,-87.8308522,12,3250,8,0.6666666666666666,4,0.3333333333333333,0,2,0.0,1,2,1,2,2
144,GREENVILLE POLICE DEPARTMENT,GREENVILLE,AL,BUTLER,1013,AL0100100,7781,1,AL,Butler,20354.0,9502.0,10852.0,1.2,53.3,43.8,0.1,0.4,0.0,32229.0,25.4,10.9,10.5,32.089590799999996,-88.2219652,29,11200,23,0.7931034482758621,6,0.20689655172413793,0,1,0.0,-8,2,2,1,1
159,HEMPSTEAD COUNTY SHERIFF'S OFFICE,HOPE,AR,HEMPSTEAD,5057,AR0290000,21974,2,AR,Hempstead,22336.0,10787.0,11549.0,12.5,55.7,29.7,0.2,0.0,0.0,32122.0,27.0,7.9,5.5,33.6530112,-93.6623239,15,5200,15,1.0,0,0.0,0,1,0.0,1,2,1,1,1
167,SHERIDAN POLICE DEPARTMENT,SHERIDAN,AR,GRANT,5053,AR0270100,4827,1,AR,Grant,18054.0,8875.0,9179.0,1.2,93.1,3.8,0.3,0.5,0.0,46171.0,12.0,9.4,10.8,34.2628015,-92.4208713,14,9000,14,1.0,0,0.0,0,2,0.0,1,2,1,-9,-9
174,MASON COUNTY SHERIFF'S OFFICE,POINT PLEASANT,WV,MASON,54053,WV0270000,26825,2,WV,Mason,27177.0,13144.0,14033.0,1.0,96.9,0.7,0.0,0.1,0.0,36448.0,19.2,10.3,3.0,39.021745,-82.0290296,19,5500,19,1.0,0,0.0,0,2,0.0,1,2,1,-9,-9
183,DELAVAN TOWN POLICE DEPARTMENT,DELAVAN,WI,WALWORTH,55127,WI0651700,5326,1,WI,Walworth,103039.0,51420.0,51619.0,10.9,85.7,0.9,0.1,0.9,0.1,53445.0,13.5,7.2,1.3,42.5311279,-88.59954559999998,11,6162,11,1.0,0,0.0,0,2,0.0,-8,2,2,2,2
191,JACKSON POLICE DEPARTMENT,JACKSON,WI,WASHINGTON,55131,WI0670700,4452,1,WI,Washington,132921.0,65880.0,67041.0,2.9,93.6,1.0,0.1,1.0,0.0,69237.0,5.6,4.5,6.0,45.3948295,-86.9313007,11,1800,11,1.0,0,0.0,0,2,0.0,1,2,1,2,2
196,MUKWONAGO POLICE DEPARTMENT,MUKWONAGO,WI,WAUKESHA,55133,WI0681200,8116,1,WI,Waukesha,393873.0,193441.0,200432.0,4.5,89.6,1.4,0.1,2.9,0.0,76545.0,5.3,4.2,5.7,43.0116784,-88.2314813,14,29215,13,0.9285714285714286,0,0.0,1,2,0.07142857142857142,1,2,2,2,2
199,SAUK COUNTY SHERIFF'S OFFICE,BARABOO,WI,SAUK,55111,WI0570000,63949,2,WI,Sauk,62992.0,31578.0,31414.0,4.7,91.8,0.5,1.2,0.7,0.0,51055.0,12.3,5.5,1.1,43.4066375,-89.9253233,47,75486,46,0.9787234042553191,0,0.0,1,1,0.02127659574468085,2,2,1,2,2
205,LIBERTY LAKE POLICE DEPARTMENT,LIBERTY LAKE,WA,SPOKANE,53063,WA0321300,9209,1,WA,Spokane,480832.0,238241.0,242591.0,5.1,85.7,1.7,1.3,2.3,0.4,50079.0,15.9,8.4,1.8,47.6587802,-117.42604650000001,11,5500,11,1.0,0,0.0,0,1,0.0,1,1,1,2,1
206,LYNDEN POLICE DEPARTMENT,LYNDEN,WA,WHATCOM,53073,WA0370500,13952,1,WA,Whatcom,207100.0,102637.0,104463.0,8.7,80.3,0.8,2.6,3.9,0.3,53145.0,16.0,8.2,1.7,48.8787167,-121.9718658,15,2972,15,1.0,0,0.0,0,2,0.0,2,2,2,2,1
208,UNIVERSITY PLACE POLICE DEPARTMENT,UNIVERSITY PLACE,WA,PIERCE,53053,WA0272400,33288,1,WA,Pierce,821952.0,408209.0,413743.0,10.0,68.8,6.5,1.0,6.0,1.3,59953.0,12.7,9.2,2.3,47.067587700000004,-122.1295269,15,9000,14,0.9333333333333333,0,0.0,1,1,0.06666666666666667,1,1,1,1,2
212,SPRINGFIELD POLICE DEPARTMENT,SPRINGFIELD,VT,WINDSOR,50027,VT0140200,9044,1,VT,Windsor,56150.0,27488.0,28662.0,1.4,95.1,0.7,0.2,0.9,0.1,52965.0,11.0,5.1,1.2,43.479999600000006,-72.3865679,16,10000,16,1.0,0,0.0,0,2,0.0,1,2,2,2,2
214,WINDSOR COUNTY SHERIFF'S OFFICE,WOODSTOCK,VT,WINDSOR,50027,VT0140000,55496,2,VT,Windsor,56150.0,27488.0,28662.0,1.4,95.1,0.7,0.2,0.9,0.1,52965.0,11.0,5.1,1.2,43.479999600000006,-72.3865679,15,75,15,1.0,0,0.0,0,2,0.0,-8,2,2,2,2
215,BATH COUNTY SHERIFF'S OFFICE,WARM SPRINGS,VA,BATH,51017,VA0090000,4476,2,VA,Bath,4583.0,2233.0,2350.0,3.5,91.2,3.4,0.0,0.0,0.0,43646.0,7.7,6.0,1.9,38.111733,-79.6502105,19,5980,19,1.0,0,0.0,0,1,0.0,-8,2,1,2,1
216,BUCKINGHAM COUNTY SHERIFF'S OFFICE,BUCKINGHAM,VA,BUCKINGHAM,51029,VA0150000,17048,2,VA,Buckingham,17068.0,9476.0,7592.0,2.2,61.0,34.4,0.1,0.5,0.1,40331.0,19.1,11.2,2.0,37.507008000000006,-78.5660852,19,6925,19,1.0,0,0.0,0,1,0.0,-8,2,1,1,1
220,SMITHFIELD POLICE DEPARTMENT,SMITHFIELD,VA, ,51093,VA0460100,8435,1,VA,Isle of Wight,35740.0,17503.0,18237.0,2.5,70.7,22.8,0.1,0.9,0.0,65741.0,11.7,8.3,6.3,36.9288915,-76.68747009999998,21,12000,12,0.5714285714285714,5,0.23809523809523808,1,1,0.047619047619047616,1,1,1,1,2
227,KNOXVILLE POLICE DEPARTMENT,KNOXVILLE,TN,KNOX,47093,TN0470100,186239,1,TN,Knox,444348.0,215996.0,228352.0,3.8,83.1,9.0,0.2,2.0,0.0,48701.0,16.0,6.5,2.9,35.9874629,-83.94197840000001,379,205826,353,0.9313984168865436,23,0.06068601583113457,1,1,0.002638522427440633,1,1,1,2,2
